ID,English_Text,Khmer_Text
2,"(Phnom Penh): On the afternoon of Sunday, 15 December 2024, at the PH Grand Hall, His Excellency SAMHENG Bora, Secretary of State of Ministry of Commerce, high representative of Her Excellency CHAM Nimul, Minister of Commerce presided over a speech at a business matching event under the theme ""Development of Cambodia's Potential Product Market"", an accompanying event during the ""Cambodia Trade Expo"" from 13-16 December 2024.",(ភ្នំពេញ)៖ នារសៀលថ្ងៃអាទិត្យ ទី១៥ ខែធ្នូ ឆ្នាំ២០២៤ នៅសាលសន្និសីទភីអេចហ្ក្រេនហល បុរីប៉េងហួតបឹងស្នោ ឯកឧត្តម សំហេង បូរ៉ា រដ្ឋលេខាធិការ ក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមជាអធិបតីថ្លែងសុន្ទរកថាក្នុងជំនួបពាណិជ្ជកម្ម ស្តីពី “ការអភិវឌ្ឍទីផ្សារផលិតផលសក្តានុពលកម្ពុជា” ដែលជាព្រឹត្តិការណ៍អមក្នុងកំឡុង “ពិព័រណ៍ពាណិជ្ជកម្មកម្ពុជា” ដែលប្រព្រឹត្តទៅចាប់ពីថ្ងៃទី១៣-១៦ ខែធ្នូ ឆ្នាំ២០២៤។
3,"The purpose of this business matching event is to: 1- Facilitate producers and traders in finding business partners 2- Find and expand the market for local producers and traders and 3-disseminating and promoting the export of Cambodian products to international markets, providing opportunities for Cambodian traders, artisans and producers to meet directly with distributors, buyers and consumers.",ជំនួបពាណិជ្ជកម្មនេះ ត្រូវបានរៀបចំឡើងក្នុងគោលបំណង៖ ១-ជួយសម្របសម្រួលដល់ផលិតករ និងពាណិជ្ជករក្នុងការស្វែងរកដៃគូពាណិជ្ជកម្ម ២-ស្វែងរក និងពង្រីកទីផ្សារ ជូនផលិតករ និងពាណិជ្ជករក្នុងស្រុក និង៣-ផ្សព្វផ្សាយ និងជំរុញការនាំចេញផលិតផលខ្មែរទៅកាន់ទីផ្សារអន្តរជាតិ ដែលផ្តល់ឱកាសជូន អាជីវករ សិប្បករ និងផលិតករខ្មែរ ក្នុងការជួបពិភាក្សារផ្ទាល់ជាមួយ អ្នកចែកចាយ អ្នកទទួលទិញ និងអ្នកប្រើប្រាស់។
4,"in the above business matching, there was also the sharing of experiences from speakers from the Ministry of Commerce and Cambodian companies focusing on the development of potential Cambodian products, accompanied by an exhibition of a variety of Cambodian products, including rice, cashew, mango, pepper, banana, Pailin Longan, cassava, honey, salt, coconut and a variety of products.",ក្នុងឱកាសនោះ ក៏មានការចែករំលែកបទពិសោធពីវាគ្មិន ពីក្រសួងពាណិជ្ជកម្ម និងក្រុមហ៊ុនកម្ពុជា ផ្តោតទៅលើការអភិវឌ្ឍផលិតផលសក្តានុពលខ្មែរ អមដោយការតាំងបង្ហាញផលិតផលកម្ពុជាជាច្រើនមុខ រួមមាន អង្ករ ស្វាយចន្ទី ម្រេច ស្វាយ ចេកអំបូងលឿង មៀនប៉ៃលិន ដំឡូងមី ទឹកឃ្មុំ អំបិល ដូង និងផលិតផលចម្រុះជាច្រើនមុខ។
6,"(Ankara, Türkiye): On Thursday, 12 December 2024, at the Ankara Chamber of Industry headquarters in Ankara, Mr. Keo Buntheng, Commercial Attaché to the Republic of Türkiye, coordinated the organization of the Cambodia-Turkey Business Forum, co-organized by the Cambodian Chamber of Commerce, the Ankara Chamber of Industry, and the Turkish Foreign Economic Relations Board (DEİK).","(អង់ការ៉ា, តួកគីយ៉េ)៖ នាថ្ងៃព្រហស្បតិ៍ ទី១២ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីស្នាក់ការសភាឧស្សាហកម្មអង់ការ៉ា (Ankara Chamber of Industry) ទីក្រុងអង់ការ៉ា សាធារណរដ្ឋតួកគីយ៉េ លោក កែវ ប៊ុនថេង អនុព័ន្ធពាណិជ្ជកម្ម ប្រចាំសាធារណរដ្ឋតួកគីយ៉េ បានសម្របសម្រួលរៀបចំនូវវេទិកាធុរកិច្ចកម្ពុជា-តួកគីយ៉េ ដែលសហការរៀបចំដោយសភាពាណិជ្ជកម្មកម្ពុជា សភាពាណិជ្ជឧស្សាហកម្ម និងគណៈកម្មាធិការទំនាក់ទំនងសេដ្ឋកិច្ចបរទេសតួកគីយ៉េ (DEiK)។"
7,"The forum was attended by Oknha KUOCH Pheng, Vice President of the Cambodian Chamber of Commerce; representatives of Oknha KITH Meng, President of the Cambodian Chamber of Commerce and Chairman of the ASEAN Business Advisory Council for Cambodia; and representatives of 18 Turkish companies and 6 Cambodian companies.",វេទិកានេះ មានការអញ្ជើញចូលរួមពី ឧកញ៉ា គួច ផេង អនុប្រធានសភាពាណិជ្ជកម្មកម្ពុជា តំណាង អ្នកឧកញ៉ា គិត ម៉េង ប្រធានសភាពាណិជ្ជកម្មកម្ពុជា និងជាប្រធានក្រុមប្រឹក្សាពិគ្រោះយោបល់ធុរកិច្ចអាស៊ានសម្រាប់កម្ពុជា ព្រមទាំងតំណាងក្រុមហ៊ុនតួកគីយ៉េ ចំនួន១៨ និងក្រុមហ៊ុនកម្ពុជា ចំនួន៦ ផងដែរ។
8,The business forum aimed to share information about the potential for trade and investment between the two countries and to provide Cambodian and Turkish businesspeople with opportunities to explore investment partnerships and collaborations.,វេទិកាធុរកិច្ចកម្ពុជា-តួកគីយ៉េ ត្រូវបានរៀបចំឡើងដើម្បីចែករំលែកព័ត៌មានអំពីសក្តានុពលនៃពាណិជ្ជកម្មនិងការវិនិយោគរបស់ប្រទេសទាំងពីរ និងផ្តល់ឱកាសដល់ធុរជនកម្ពុជានិងតួកគីយ៉េ ស្វែងរកឱកាសក្នុងការចាប់ដៃគូរវិនិយោគនិងធ្វើធុរកិច្ចរួមគ្នា។
9,"Also at the forum, the Cambodian Chamber of Commerce and the Ankara Chamber of Industry signed a memorandum of understanding to strengthen cooperation in promoting trade and investment. In addition, the Cambodian Chamber of Commerce delegation and the Commercial Attaché visited Ankara's 1st Organized Industrial Zone to study the operations of four factories: a furniture factory, an excavator assembly factory, a frozen food factory, and a model human resource training center.",ក្នុងឱកាសនោះ សភាពាណិជ្ជកម្មកម្ពុជា និងសភាឧស្សាហកម្មអង់ការ៉ា បានចុះនូវអនុស្សរណៈនៃការយោគយល់គ្នា ដើម្បីពង្រឹងនូវកិច្ចសហប្រតិបត្តិការរវាងស្ថាប័នទាំងពីរក្នុងការជំរុញពាណិជ្ជកម្មនិងការវិនិយោគ។ ជាងនេះទៅទៀត គណៈប្រតិភូសភាពាណិជ្ជកម្មកម្ពុជា និងលោកអនុព័ន្ធពាណិជ្ជកម្ម បានធ្វើទស្សនកិច្ចទៅកាន់តំបន់ឧស្សាហកម្មទី១ ទីក្រុងអង់ការ៉ា ដើម្បីសិក្សាស្វែងយល់អំពីដំណើរការរោងចក្រចំនួន៤ រួមមាន៖ រោងចក្រផលិតគ្រឿងសង្ហារឹម រោងចក្រតំឡើង Excavator រោងចក្រផលិតចំណីអាហារបង្កក និងមជ្ឈមណ្ឌលគំរូសម្រាប់បណ្តុះបណ្តាលធនធានមនុស្ស។
10,"(Jakarta, Indonesia): On the morning of Thursday, 12 December 2024, in Jakarta, Indonesia, Mr. KANN Viseth, Economic Attaché (AEC), accompanied His Excellency HENG Sarith, Ambassador/Permanent Representative of Cambodia to ASEAN, attended the 12th Meeting of the Committee of Permanent Representatives to ASEAN (CPR) at the ASEAN Secretariat. This meeting, chaired by His Excellency Bovonethat Douangchak, Ambassador of Permanent Representative of Lao PDR to ASEAN, continued discussions on key initiatives such as ASEAN Community building, External Relations (ASEAN-Australia & ASEAN-New Zealand Dialogue Relations), and reinforced ASEAN's collective efforts for the year ahead.","(ហ្សាការតា, ឥណ្ឌូណេស៊ី)៖ នាព្រឹកថ្ងៃព្រហស្បតិ៍ ទី១២ ខែធ្នូ ឆ្នាំ២០២៤ នៅលេខាធិការដ្ឋានអាស៊ាន ក្នុងទីក្រុងហ្សាការតា ប្រទេសឥណ្ឌូណេស៊ី លោក កាន់ វិសិដ្ឋ អនុព័ន្ធទទួលបន្ទុកការងារសេដ្ឋកិច្ច បានអញ្ជើញចូលរួមអម ឯកឧត្តម ហេង សារិទ្ធ ឯកអគ្គរាជទូត/តំណាងអចិន្រ្តៃយ៍កម្ពុជាប្រចាំអាស៊ាន ចូលរួមកិច្ចប្រជុំលើកទី១២ នៃគណៈកម្មាធិការតំណាងអចិន្រ្តៃយ៍ប្រចាំអាស៊ាន (CPR) ដែលដឹកនាំដោយ ឯកឧត្តម Bovonethat Douangchak ឯកអគ្គរដ្ឋទូតស្ថានបេសកកម្មឡាវប្រចាំអាស៊ាន ដើម្បីបន្តពិភាក្សាលើគំនិតផ្តួចផ្តើមជាគន្លឹះ ដូចជាការកសាងសហគមន៍អាស៊ាន ជាមួយដៃគូសន្ទនាខាងក្រៅ (ដៃគូសន្ទនាអាស៊ាន-អូស្រ្តាលី និងដៃគូសន្ទនាអាស៊ាន-ណូវែលហ្សឺឡង់) និងការពង្រឹងកិច្ចខិតខំប្រឹងប្រែងរួមរបស់អាស៊ានសម្រាប់ឆ្នាំខាងមុខ។"
11,"This was the final meeting of 2024 of the CPR, and it preceded the CPR Chairmanship Handover Ceremony from Lao PDR to Malaysia. Malaysia will officially assume the role of ASEAN Chair starting on 1 January 2025.",សូមបញ្ជាក់ថា កិច្ចប្រជុំនេះ ជាកិច្ចប្រជុំចុងក្រោយសម្រាប់ឆ្នាំ២០២៤ និងមានពិធីផ្ទេរតំណែងជាប្រធានសម្រាប់កិច្ចប្រជុំ ពីប្រទេសឡាវជូនប្រទេសម៉ាឡេស៊ី ដែលនឹងត្រូវចូលកាន់តំណែង ជាផ្លូវការចាប់ពីថ្ងៃទី១ ខែមករា ឆ្នាំ២០២៥ ខាងមុខនេះ។
12,"On that occasion, His Excellency Dr. KAO Kim Hourn, Secretary-General of ASEAN, attended the CPR Chairmanship Handover Ceremony as a witness. He delivered remarks, commending the CPR for their hard work and unwavering commitment to ensuring the progress of ASEAN Community building and strengthening the ASEAN Secretariat.",ជាមួយគ្នានេះ ឯកឧត្តមបណ្ឌិត កៅ គឹមហួន អគ្គលេខាធិការអាស៊ាន បានអញ្ជើញចូលរួមធ្វើជាសាក្សី ក្នុងពិធីផ្ទេរតំណែងនេះ និងបានថ្លែងកោតសរសើរចំពោះការខិតខំប្រឹងប្រែង និងការប្តេជ្ញាចិត្តយ៉ាងមុតមាំ ក្នុងការធានាបាននូវវឌ្ឍនភាពនៃការកសាងសហគមន៍អាស៊ាន ព្រមទាំងការពង្រឹងលេខាធិការដ្ឋានអាស៊ានផងដែរ។
